"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032943","mononuclear cell proliferation","46/693","385/28905",0.119480519480519,4.98352729521561,12.3325264468547,3.28362151545296e-19,8.39985829629667e-16,5.77463552908389e-16,"Ptpn22/Zbtb32/Cd80/Spn/Rac2/Itgam/Fcgr2b/Pycard/Syk/Rasgrp1/Cxcr4/Cd81/H2-Q7/Cd44/Cd1d1/H2-K1/Bax/Slfn2/Lipa/Twsg1/Ceacam1/Mzb1/Cd86/Lgals3/Itgb2/Ccnd3/Lilrb4a/H2-D1/Ccdc88b/H2-T22/Casp3/Cblb/Ahr/Prdx2/Tyrobp/Cd38/Tlr9/H2-Q4/Myc/Lyn/Hmgb1/Azi2/Ebi3/Impdh2/Mad1l1/Slc7a1",46
"GO:0070661","leukocyte proliferation","48/693","420/28905",0.114285714285714,4.76685219542362,12.1877564455103,3.45459934044691e-19,8.39985829629667e-16,5.77463552908389e-16,"Ptpn22/Zbtb32/Cd80/Spn/Rac2/Itgam/Fcgr2b/Pycard/Syk/Rasgrp1/Cxcr4/Cd81/H2-Q7/Cd44/Cd1d1/H2-K1/Bax/Slfn2/Lipa/Twsg1/Ceacam1/Mzb1/Cd86/Lgals3/Itgb2/Ccnd3/Lilrb4a/H2-D1/Ccdc88b/H2-T22/Casp3/Cblb/Ahr/Junb/Prdx2/Tyrobp/Cd38/Tlr9/H2-Q4/Myc/Lyn/Csf2rb/Hmgb1/Azi2/Ebi3/Impdh2/Mad1l1/Slc7a1",48
"GO:0046651","lymphocyte proliferation","45/693","378/28905",0.119047619047619,4.96547103689961,12.163016196977,9.34279628767924e-19,1.5144672782328e-15,1.04114810560243e-15,"Ptpn22/Zbtb32/Cd80/Spn/Rac2/Itgam/Fcgr2b/Pycard/Syk/Rasgrp1/Cxcr4/Cd81/H2-Q7/Cd44/Cd1d1/H2-K1/Bax/Slfn2/Lipa/Twsg1/Ceacam1/Mzb1/Cd86/Lgals3/Itgb2/Ccnd3/Lilrb4a/H2-D1/Ccdc88b/H2-T22/Casp3/Cblb/Ahr/Prdx2/Tyrobp/Cd38/Tlr9/H2-Q4/Myc/Lyn/Hmgb1/Ebi3/Impdh2/Mad1l1/Slc7a1",45
"GO:0002697","regulation of immune effector process","50/693","473/28905",0.105708245243129,4.4090863329764,11.7163818866438,1.71651944019445e-18,2.08685850941641e-15,1.43464887948884e-15,"Ptpn22/Cd80/Spn/Rac2/Itgam/Cfp/Lacc1/Fcgr2b/Pycard/Syk/Rasgrp1/Fgl2/Sema7a/Cd81/Acp5/H2-Q7/Fer/Cd1d1/H2-K1/Tlr7/Tbx21/Ceacam1/Mzb1/Cd86/Lgals3/Cuedc2/Itgb2/Stx7/Dusp10/Lilrb4a/H2-D1/Casp4/H2-T22/Ahr/Grn/Tmbim6/Dnase1l3/Tyrobp/Tlr9/Tap1/H2-Q4/Casp1/Lyn/Hmgb1/Mavs/Bst2/Hmces/S100a9/Scimp/Tap2",50
"GO:0045088","regulation of innate immune response","50/693","486/28905",0.102880658436214,4.29114780966633,11.4680553418733,5.36723994327746e-18,5.02678680416428e-15,3.45575611546387e-15,"Plscr1/Ptpn22/Apoe/Lacc1/Pycard/Syk/Rasgrp1/Hspa8/H2-Q7/Zbp1/H2-K1/Tlr7/Cd300lf/Ccr1/App/Sirt2/Rbm47/Ceacam1/Cd86/Gbp3/Dusp10/Nlrc5/Gbp2/H2-D1/Casp4/Ifi213/Irf7/Gbp7/H2-T22/Parp9/Grn/Tyrobp/Tlr9/Tap1/H2-Q4/Casp1/Lyn/Hmgb1/S100a8/Igtp/Ifi35/Mavs/Samhd1/Rftn1/S100a9/Wdfy1/Scimp/Tap2/Eif2ak2/Arf6",50
"GO:0042098","T cell proliferation","37/693","265/28905",0.139622641509434,5.8236543330883,12.3634951415318,6.20208118959196e-18,5.02678680416428e-15,3.45575611546387e-15,"Ptpn22/Zbtb32/Cd80/Spn/Rac2/Itgam/Pycard/Syk/Rasgrp1/Cxcr4/Cd81/H2-Q7/Cd44/Cd1d1/H2-K1/Bax/Slfn2/Lipa/Twsg1/Ceacam1/Cd86/Lgals3/Itgb2/Ccnd3/Lilrb4a/H2-D1/Ccdc88b/H2-T22/Casp3/Cblb/Prdx2/H2-Q4/Myc/Hmgb1/Ebi3/Mad1l1/Slc7a1",37
"GO:0002764","immune response-regulating signaling pathway","50/693","497/28905",0.100603621730382,4.19617270723911,11.2646254866755,1.36494473501194e-17,9.48246606623292e-15,6.51889395247806e-15,"Plscr1/Ptpn22/Fcrl5/Itgam/Lacc1/Pycard/Syk/Hspa8/Cd81/H2-Q7/Nfam1/Fer/H2-K1/Tlr7/Bax/Cd300lf/App/Sirt2/Lipa/Cd86/Lgals3/Lilrb4a/Gbp2/H2-D1/Casp4/Ifi213/Irf7/Cblb/Tyrobp/Cd38/Tlr9/H2-Q4/Rab29/Casp1/Lyn/Grb2/Hmgb1/S100a8/Igtp/Lat2/Ifi35/Lck/Mavs/Rftn1/S100a9/Hras/Wdfy1/Scimp/Eif2ak2/Arf6",50
"GO:0002757","immune response-activating signaling pathway","49/693","486/28905",0.10082304526749,4.205324853473,11.1690039263345,2.66411772287513e-17,1.61945056079272e-14,1.11332077471729e-14,"Plscr1/Ptpn22/Fcrl5/Itgam/Lacc1/Pycard/Syk/Hspa8/Cd81/H2-Q7/Nfam1/H2-K1/Tlr7/Bax/Cd300lf/App/Sirt2/Lipa/Cd86/Lgals3/Lilrb4a/Gbp2/H2-D1/Casp4/Ifi213/Irf7/Cblb/Tyrobp/Cd38/Tlr9/H2-Q4/Rab29/Casp1/Lyn/Grb2/Hmgb1/S100a8/Igtp/Lat2/Ifi35/Lck/Mavs/Rftn1/S100a9/Hras/Wdfy1/Scimp/Eif2ak2/Arf6",49
"GO:0007159","leukocyte cell-cell adhesion","46/693","445/28905",0.103370786516854,4.31159103069215,11.0338711797178,9.92995536981117e-17,5.3654858848213e-14,3.68860096544097e-14,"Itgb1/Lgals1/Ptpn22/Cd80/Spn/Rac2/Itgam/Cd5/Pycard/Syk/Rasgrp1/Actb/Fgl2/Ass1/Sirpa/Cd81/Nt5e/H2-Q7/Cd44/Cd1d1/H2-K1/Tbx21/Twsg1/Ceacam1/Cd86/Lgals3/Itgb2/Dusp10/Socs1/Lilrb4a/H2-D1/Ccdc88b/H2-T22/Casp3/Cblb/Prdx2/Arid2/Icam1/H2-Q4/Hmgb1/S100a8/Lck/S100a9/Mad1l1/Bad/Slc7a1",46
"GO:0002833","positive regulation of response to biotic stimulus","45/693","431/28905",0.104408352668213,4.35486786994908,10.9981203830793,1.4818094598915e-16,7.20603940345239e-14,4.95392299433202e-14,"Plscr1/Ptpn22/Ly86/Lacc1/Pycard/Syk/Rasgrp1/Hspa8/H2-Q7/Zbp1/H2-K1/Tlr7/Cd300lf/App/Sirt2/Rbm47/Cd86/Gbp3/Prkca/Nlrc5/Gbp2/H2-D1/Casp4/Ifi213/Irf7/Gbp7/H2-T22/Parp9/Grn/Tyrobp/Tlr9/H2-Q4/Casp1/Lyn/Hmgb1/S100a8/Igtp/Ifi35/Mavs/Rftn1/S100a9/Wdfy1/Scimp/Eif2ak2/Arf6",45
