"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007158","neuron cell-cell adhesion","1/6","10/28905",0.1,481.75,21.908928370806,0.00207415017801904,0.0296154197928891,0.00596226455421983,"Nrxn1",1
"GO:0021684","cerebellar granular layer formation","1/6","10/28905",0.1,481.75,21.908928370806,0.00207415017801904,0.0296154197928891,0.00596226455421983,"Nrxn1",1
"GO:0021707","cerebellar granule cell differentiation","1/6","10/28905",0.1,481.75,21.908928370806,0.00207415017801904,0.0296154197928891,0.00596226455421983,"Nrxn1",1
"GO:0045743","positive regulation of fibroblast growth factor receptor signaling pathway","1/6","10/28905",0.1,481.75,21.908928370806,0.00207415017801904,0.0296154197928891,0.00596226455421983,"Nrxn1",1
"GO:0090129","positive regulation of synapse maturation","1/6","10/28905",0.1,481.75,21.908928370806,0.00207415017801904,0.0296154197928891,0.00596226455421983,"Nrxn1",1
"GO:0097104","postsynaptic membrane assembly","1/6","10/28905",0.1,481.75,21.908928370806,0.00207415017801904,0.0296154197928891,0.00596226455421983,"Nrxn1",1
"GO:0097119","postsynaptic density protein 95 clustering","1/6","10/28905",0.1,481.75,21.908928370806,0.00207415017801904,0.0296154197928891,0.00596226455421983,"Nrxn1",1
"GO:0098598","learned vocalization behavior or vocal learning","1/6","10/28905",0.1,481.75,21.908928370806,0.00207415017801904,0.0296154197928891,0.00596226455421983,"Nrxn1",1
"GO:0021683","cerebellar granular layer morphogenesis","1/6","12/28905",0.0833333333333333,401.458333333333,19.9923953664431,0.00248854969605228,0.0296154197928891,0.00596226455421983,"Nrxn1",1
"GO:0070493","thrombin-activated receptor signaling pathway","1/6","12/28905",0.0833333333333333,401.458333333333,19.9923953664431,0.00248854969605228,0.0296154197928891,0.00596226455421983,"Iqgap2",1
"GO:0097090","presynaptic membrane organization","1/6","12/28905",0.0833333333333333,401.458333333333,19.9923953664431,0.00248854969605228,0.0296154197928891,0.00596226455421983,"Nrxn1",1
"GO:0031223","auditory behavior","1/6","13/28905",0.0769230769230769,370.576923076923,19.2044073988874,0.00269569567264938,0.0296154197928891,0.00596226455421983,"Nrxn1",1
